 Radius(m)   Te(eV)        +dTe         -dTe       Ne(cm^-3)      +dNe         -dNe
 0.520657 4.346363E+00 7.266047E-01 1.135629E+01 1.000000E+08 0.000000E+00 0.000000E+00
 0.519428 4.366570E+00 7.477819E-01 6.915276E-01 1.000000E+08 0.000000E+00 0.000000E+00
 0.518199 2.503769E+00 7.241357E-01 6.712653E-01 1.000000E+08 0.000000E+00 0.000000E+00
 0.516971 5.696048E+00 1.168607E+00 1.033473E+00 1.000000E+08 0.000000E+00 0.000000E+00
 0.515742 5.551285E+00 1.064116E+00 8.658611E-01 1.000000E+08 0.000000E+00 0.000000E+00
 0.514514 7.344188E+00 9.030064E-01 6.905229E-01 1.000000E+08 0.000000E+00 0.000000E+00
 0.513285 4.852373E+00 6.619701E-01 3.014224E-01 1.000000E+08 0.000000E+00 0.000000E+00
 0.512056 6.668534E+00 5.580815E-01 2.153170E+00 1.000000E+08 1.079990E+13 0.000000E+00
 0.510828 9.223968E+00 7.244427E-01 6.290138E-01 3.506754E+10 6.038678E+10 3.496754E+10
 0.509599 9.813250E+00 7.231591E-01 9.318174E-01 1.823094E+10 6.181620E+10 1.813094E+10
 0.508371 6.148373E+00 4.835343E-01 3.567647E-01 9.373569E+08 3.412088E+08 5.501616E+10
 0.507142 5.932718E+00 2.738673E+00 1.737449E-01 4.721338E+10 7.647820E+10 1.309604E+11
 0.505913 5.790618E+00 2.659074E+00 2.159494E-01 4.157165E+10 7.057775E+10 1.373314E+11
 0.504685 9.686348E+00 5.569600E-01 5.448848E+00 7.564201E+10 5.687216E+10 5.440866E+10
 0.503456 1.015411E+01 5.435916E-01 4.513409E-01 1.360352E+11 7.490693E+10 5.475592E+10
 0.502228 1.152432E+01 4.851971E-01 5.236973E-01 1.618738E+11 7.683362E+10 6.714908E+10
 0.500999 1.186006E+01 4.176038E-01 3.821917E-01 1.912527E+11 8.967282E+10 6.583839E+10
 0.499770 1.237111E+01 3.701124E-01 5.195955E-01 1.790578E+11 8.403530E+10 7.123682E+10
 0.498542 1.065537E+01 3.483677E-01 1.399916E-01 1.236341E+11 7.073050E+10 5.727188E+10
 0.497313 1.136589E+01 3.725023E-01 3.058548E-01 1.699253E+11 7.916749E+10 6.826152E+10
 0.496085 1.119459E+01 2.790027E-01 3.422256E-01 2.031016E+11 7.408147E+10 6.888422E+10
